"","c1","c2","weight"
"23854","NEUROG3","NR2F2",0.0171965272279775
"16147","HOXA1","NEUROG3",0.017204185202654
"18109","HOXD9","NEUROG3",0.0172100115445691
"23917","NEUROG3","TCF7L1",0.0172224128599151
"2078","ATOH1","NR1H4",0.0172261621283141
"23681","NEUROG1","TBX20",0.0172399738919735
"23647","NEUROG1","PRDM14",0.0172499552158789
"23712","NEUROG1","ZNF423",0.0172525112072148
"4174","CEBPE","NEUROD6",0.0172634225964941
"15802","HNF4A","NEUROD1",0.0172829031856315
"23582","NEUROD6","ZBTB6",0.0172878371295843
"23932","NEUROG3","ZBTB32",0.0172950010591994
"23769","NEUROG2","RFX6",0.0173119470782676
"15973","HNF4G","NEUROD1",0.0173164576593021
"23127","MYOG","NEUROD1",0.017318073998712
"23457","NEUROD1","UTF1",0.0173566068237391
"19924","JUNB","NEUROD6",0.0173785380742748
"6855","ESRRA","NEUROD1",0.017379973605499
"23250","NANOG","NEUROG1",0.0173982541352416
"19334","IRX6","NEUROD6",0.0174132308402715
"17309","HOXC12","NEUROG3",0.0174143564519019
"23529","NEUROD6","PRDM14",0.0174292734297581
"2095","ATOH1","PAX3",0.0174554263399083
"17143","HOXB7","NEUROD6",0.0174859177531509
"19483","ISL1","NEUROD6",0.0174935100246799
"8984","FOXA2","NEUROG3",0.0174986233499125
"23376","NEUROD1","NFKB1",0.0175068362278002
"11007","FOXR1","NEUROG1",0.0175076335987219
"23684","NEUROG1","TCF7L1",0.0175159350528045
"6418","EOMES","NEUROD1",0.0175273604369987
"23878","NEUROG3","PPARG",0.0175509986604082
"23923","NEUROG3","THAP6",0.0175730415005784
"22761","MYF6","NEUROG2",0.0175751431294658
"23897","NEUROG3","SNAI2",0.0175820175815805
"23641","NEUROG1","POU2AF1",0.0175860027284501
"4859","CREB5","NEUROG1",0.0175952538847645
"8981","FOXA2","NEUROD6",0.01762296008606
"23643","NEUROG1","POU5F2",0.0176243749476152
"23480","NEUROD1","ZNF556",0.017629851752752
"23913","NEUROG3","TBX18",0.0176326838371583
"2309","BATF","NEUROG3",0.017653045378951
"23844","NEUROG3","NFE2",0.0176672963584067
"2307","BATF","NEUROG1",0.0176769753900035
"15109","HMX1","NEUROD6",0.0176979419502864
"23131","MYOG","NEUROG3",0.0177120680124741
"23443","NEUROD1","TBX18",0.0177312011366696
"20778","LMX1B","NEUROD1",0.0177331029020806
"23717","NEUROG1","ZNF556",0.017733932882872
"23566","NEUROD6","TCF7L1",0.0177600352201681
"23694","NEUROG1","UTF1",0.0177623215553822
"23906","NEUROG3","SPI1",0.0177634292270874
"23555","NEUROD6","SPI1",0.0178052495749337
"23417","NEUROD1","RORB",0.017836636029398
"15977","HNF4G","NEUROG3",0.0178370019634914
"10208","FOXI1","NEUROD6",0.0178518342017155
"1950","ATOH1","BCL6B",0.0178544976216951
"6420","EOMES","NEUROG1",0.017863522261138
"2134","ATOH1","SPDEF",0.0178710177576746
"23874","NEUROG3","POU2AF1",0.0178732957813094
"16482","HOXA6","NEUROG1",0.0179291736876567
"23556","NEUROD6","SPIB",0.0179398640912734
"21194","MEF2B","NEUROG1",0.0180371673576598
"21196","MEF2B","NEUROG3",0.0180548740771521
"20782","LMX1B","NEUROG3",0.0180655028129818
"23493","NEUROD6","NFE2",0.0180966557917255
"23725","NEUROG1","ZSCAN5A",0.0181410971753969
"10410","FOXO1","NEUROG1",0.018155494086906
"23635","NEUROG1","PAX7",0.0181783940877569
"23544","NEUROD6","SMAD7",0.0181815510975149
"6859","ESRRA","NEUROG3",0.0181978358171544
"19185","IRF9","NEUROG1",0.0182011823485281
"19634","ISX","NEUROG3",0.018201307633023
"23008","MYOD1","NEUROG2",0.0182045856126709
"2093","ATOH1","OVOL1",0.018221578455752
"15974","HNF4G","NEUROD6",0.01824059553467
"23621","NEUROG1","NR2F2",0.0182598874181998
"23777","NEUROG2","SIX2",0.018260510836914
"23680","NEUROG1","TBX18",0.0182696227477448
"22884","MYNN","NEUROG1",0.0183000305734182
"13858","HES6","NEUROG2",0.0183315902158976
"23880","NEUROG3","PRDM14",0.0183362711588487
"23942","NEUROG3","ZNF317",0.0183529681751617
"21733","MESP2","NEUROG2",0.018401736725946
"15806","HNF4A","NEUROG3",0.0184211958550003
"23611","NEUROG1","NFE2",0.0184213675639074
"19632","ISX","NEUROG1",0.0184221389660034
"23455","NEUROD1","TP63",0.0184232581198918
"14037","HESX1","NEUROD1",0.0184311312560463
"5755","DRGX","NEUROD1",0.0184324963540897
"2305","BATF","NEUROD1",0.0184362736804934
"20068","KLF1","NEUROD1",0.0184505211221132
"23381","NEUROD1","NR2C1",0.0184519102990716
"23950","NEUROG3","ZNF556",0.0184542377655683
"23404","NEUROD1","POU2AF1",0.0184543233373435
"2086","ATOH1","NR4A2",0.018473930257077
"23922","NEUROG3","THAP2",0.0184787813555977
"14041","HESX1","NEUROG3",0.0184925972070042
"16144","HOXA1","NEUROD6",0.0185079656885483
"21056","MEF2A","NEUROD6",0.0185128104312983
"16312","HOXA5","NEUROD1",0.018522411738915
"23887","NEUROG3","RORB",0.0185346131038649
"23452","NEUROD1","THAP2",0.018557538858332
"10612","FOXP3","NEUROG3",0.018560143911085
"23958","NEUROG3","ZSCAN5A",0.0185688301572086
"23599","NEUROD6","ZNF556",0.0185726393309588
"23252","NANOG","NEUROG3",0.0186403472428005
"5756","DRGX","NEUROD6",0.018665649248211
"19183","IRF9","NEUROD1",0.0186703042482503
"23484","NEUROD1","ZNF77",0.0186750050332333
"23538","NEUROD6","RXRG",0.0186770796185317
"5759","DRGX","NEUROG3",0.0186947444558117
"2129","ATOH1","SOX14",0.0186972997597894
"20072","KLF1","NEUROG3",0.0187233983201016
"23488","NEUROD1","ZSCAN5A",0.018731181667705
"23248","NANOG","NEUROD1",0.0187340814565859
"18884","IRF5","NEUROG3",0.0187373545991829
"23721","NEUROG1","ZNF77",0.0187671102781916
"20780","LMX1B","NEUROG1",0.0187681162251677
"22252","MSX2","NEUROD1",0.0187741611327656
"19630","ISX","NEUROD1",0.0187758457576399
"23407","NEUROD1","PPARA",0.0187788466155053
"14755","HIF1A","NEUROD1",0.0187804131579178
"23129","MYOG","NEUROG1",0.0187910075321184
"23562","NEUROD6","TBX18",0.0187928155084362
"16316","HOXA5","NEUROG3",0.0188076312700269
"23689","NEUROG1","THAP2",0.0188369944936148
"23954","NEUROG3","ZNF77",0.0188529174464342
"23859","NEUROG3","NR5A2",0.0188577534498066
"11006","FOXR1","NEUROD6",0.0188762048094407
"18105","HOXD9","NEUROD1",0.0189232495936951
"23436","NEUROD1","SPI1",0.0189277299463462
"16145","HOXA1","NEUROG1",0.018930556267388
"23952","NEUROG3","ZNF615",0.0189316496150384
"23406","NEUROD1","POU5F2",0.0189505206007041
"23391","NEUROD1","OLIG2",0.0189871156452901
"23523","NEUROD6","POU2AF1",0.0189956372142674
"6856","ESRRA","NEUROD6",0.0189991251737671
"23472","NEUROD1","ZNF317",0.0190166270750039
"23128","MYOG","NEUROD6",0.0190431712397756
"23709","NEUROG1","ZNF317",0.0190541773457091
"2064","ATOH1","MYOD1",0.0190637860104447
"16982","HOXB6","NEUROG3",0.0190994784478195
"14039","HESX1","NEUROG1",0.0191193108418416
"23419","NEUROD1","RXRG",0.0191285230908997
"23389","NEUROD1","NR5A2",0.0191327276937593
"14759","HIF1A","NEUROG3",0.0191340735941561
"10610","FOXP3","NEUROG1",0.0191726700537189
"11206","FOXR2","NEUROG3",0.0191763917796435
"4861","CREB5","NEUROG3",0.019237825048999
"21055","MEF2A","NEUROD1",0.0192466764956113
"18106","HOXD9","NEUROD6",0.0192525666764327
"2173","ATOH1","ZNF410",0.0192604606638852
"14038","HESX1","NEUROD6",0.0192649568907443
